GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)												
213737	Q8TDV5	MTJFPNPDPMDLQJ-YADHBBJMSA-N	Activity	30	30	%	22061639												
219788	Q8TDV5	NCHIILHELXBAPW-UHFFFAOYSA-N	Activity	125	125	%	20227877												
222147	Q8TDV5	NFOVJGIKZNDICV-UHFFFAOYSA-N	Activity	28	28	%	20227877												
230001	Q8TDV5	NRCJOYXLUVKQFQ-UHFFFAOYSA-N	Activity	136	136	%	20227877												
236880	Q8TDV5	OBCYIDQCUJDTIC-UHFFFAOYSA-N	Activity	54	54	%	22061639												
249784	Q8TDV5	OTEDYPFTWYZQEE-UHFFFAOYSA-N	Activity	153	153	%	20227877												
251883	Q8TDV5	OWIXGPSLIFEOOY-AZUAARDMSA-N	Activity	44	44	%	22061639												
259285	Q8TDV5	PGPIOPGNNVNHMM-UHFFFAOYSA-N	Activity	69	69	%	20227877												
261229	Q8TDV5	PJKKZSMSDDSMEJ-UHFFFAOYSA-N	Activity	88	88	%	22061639												
264108	Q8TDV5	PNLYWRXTTZTKPC-UHFFFAOYSA-N	Activity	41	41	%	20227877												
268274	Q8TDV5	PTFCJKSVMIWRPR-UHFFFAOYSA-N	Activity	65	65	%	22061639												
286943	Q8TDV5	QUFNQJPLOOKXGX-UHFFFAOYSA-N	Activity	23	23	%	20227877												
293654	Q8TDV5	RDSUNKJPRRBDOJ-UHFFFAOYSA-N	Activity	85	85	%	22061639												
300336	Q8TDV5	RNCKTWHQXIORDB-UHFFFAOYSA-N	Activity	98	98	%	22061639												
310171	Q8TDV5	SBMDSJBGWCTTBK-UHFFFAOYSA-N	Activity	24	24	%	22061639												
339203	Q8TDV5	UKWZXIPCKWWPPT-UHFFFAOYSA-N	Activity	178	178	%	20227877												
339476	Q8TDV5	ULFXUVFXHTYAIU-AZUAARDMSA-N	Activity	86	86	%	22061639												
342770	Q8TDV5	UQDCHPHIQDUAQH-UHFFFAOYSA-N	Activity	33	33	%	22765901												
344962	Q8TDV5	UTEIJJONULGZNT-UHFFFAOYSA-N	Activity	100	100	%	20227877												
347778	Q8TDV5	UWZMWQPVUDFMAB-UHFFFAOYSA-N	Activity	16	16	%	20227877												
349183	Q8TDV5	UZCBJQADVCPKFE-UHFFFAOYSA-N	Activity	10	0	%	21273063												
374261	Q8TDV5	WINSVWQOADQKMS-UHFFFAOYSA-N	Activity	171	171	%	20227877												
378213	Q8TDV5	WODKVVOVQOIBPY-RVKKMQEKSA-N	Activity	45	45	%	21536438												
387228	Q8TDV5	XATVWHZPOVAVCL-UHFFFAOYSA-N	Activity	98	98	%	22061639												
392799	Q8TDV5	XIPZSRVODREROU-UHFFFAOYSA-N	Activity	11	11	%	20227877												
395125	Q8TDV5	XLRFNVGYXCZQNE-UHFFFAOYSA-N	Activity	73	73	%	22061639												
418328	Q8TDV5	YSRONUGQNKOYPU-UHFFFAOYSA-N	Activity	10	0	%	21273063												
419300	Q8TDV5	YUAAURBXCAZZNQ-UHFFFAOYSA-N	Activity	167	167	%	20227877												
